STATUS	https://gamesdb.launchbox-app.com/	200
STATUS	https://gamesdb.launchbox-app.com/Metadata.zip	200
STATUS	https://images.launchbox-app.com/	404
STATUS	https://gamesdb.launchbox-app.com/games/search?search=pokemon	200
GAME	458188	Pokémon Celebrations: Green Version	Nintendo Game Boy
GAME	458185	Pokémon Celebrations: Red Version	Nintendo Game Boy
GAME	173317	Pokémon Cerice	Nintendo Game Boy Advance
GAME	190732	Pokémon Chaos 2	Nintendo Game Boy Advance
GAME	128742	Pokémon Chaos Black	Nintendo Game Boy Advance
GAME	202267	Pokémon Chileno Version	Nintendo Game Boy Advance
GAME	128631	Pokémon Christmas	Nintendo Game Boy Color
GAME	173318	Pokémon Chrome	Nintendo Game Boy Advance
GAME	172076	Pokémon Chronicles of Soala	Nintendo Game Boy Advance
GAME	173320	Pokémon Cintrine	Nintendo Game Boy Advance
GAME	204437	Pokémon Classic 151	Nintendo Game Boy Advance
GAME	173321	Pokémon Classified	Nintendo Game Boy Advance
GAME	173386	Pokémon Clay's Calamity II	Nintendo Game Boy Advance
GAME	173371	Pokémon Clays' Calamity	Nintendo Game Boy Advance
GAME	173389	Pokémon Clays' Calamity III	Nintendo Game Boy Advance
GAME	173375	Pokémon Clear Ocean	Nintendo Game Boy Advance
GAME	128744	Pokémon Cloud White	Nintendo Game Boy Advance
GAME	136247	Pokémon Cloud White 2	Nintendo Game Boy Advance
GAME	136224	Pokémon Cloud White 3	Nintendo Game Boy Advance
GAME	140146	Pokémon Clover	Nintendo Game Boy Advance
GAME	451429	Pokémon Coastal Version	Nintendo Game Boy Advance
GAME	173387	Pokémon Cobalt	Nintendo Game Boy Advance
GAME	173390	Pokémon Conversion Emerald	Nintendo Game Boy Advance
GAME	423248	Pokémon Coral Version	Nintendo Game Boy Color
GAME	173391	Pokémon Cosmic Emerald	Nintendo Game Boy Advance
GAME	173417	Pokémon Creepy Black	Nintendo Game Boy Advance
GAME	173418	Pokémon Crimson	Nintendo Game Boy Advance
GAME	463291	Pokémon Crimson Red	Nintendo Game Boy Advance
GAME	173414	Pokémon Crono	Nintendo Game Boy Advance
GAME	470283	Pokémon Crossroads	Nintendo Game Boy Advance
GAME	421018	Pokémon Crown	Nintendo Game Boy Advance
GAME	173440	Pokémon Crush	Nintendo Game Boy Advance
GAME	478391	Pokémon Crystal Awakening	Nintendo Game Boy Color
GAME	155591	Pokémon Crystal Clear	Nintendo Game Boy Color
GAME	478394	Pokémon Crystal Inheritance	Nintendo Game Boy Color
GAME	206608	Pokémon Crystal Kaizo	Nintendo Game Boy Color
GAME	449720	Pokémon Crystal Legacy	Nintendo Game Boy Color
GAME	217738	Pokémon Crystal Maeson	Nintendo Game Boy Color
GAME	478469	Pokémon Crystal Mirror	Nintendo Game Boy Color
GAME	478476	Pokémon Crystal Prodigy	Nintendo Game Boy Color
GAME	173419	Pokémon Crystal Shards	Nintendo Game Boy Advance
GAME	423249	Pokémon Crystal Ultimate	Nintendo Game Boy Color
GAME	2362	Pokémon Crystal Version	Nintendo Game Boy Color
GAME	217876	Pokémon Crystal Version: Dunsparce Edition	Nintendo Game Boy Color
GAME	217877	Pokémon Crystal Version: Emu Edition	Nintendo Game Boy Color
GAME	128630	Pokémon Crystal World	Nintendo Game Boy Color
GAME	173412	Pokémon CrystalDust	Nintendo Game Boy Advance
GAME	173421	Pokémon Crystallos	Nintendo Game Boy Advance
GAME	128746	Pokémon Cyan	Nintendo Game Boy Advance
GAME	173693	Pokémon DPS Edition	Nintendo Game Boy Advance
GAME	173694	Pokémon DR	Nintendo Game Boy Advance
GAME	173425	Pokémon Daia	Nintendo Game Boy Advance
GAME	173428	Pokémon Dardusk	Nintendo Game Boy Advance
GAME	173447	Pokémon Dark	Nintendo Game Boy Advance
GAME	173429	Pokémon Dark Begin	Nintendo Game Boy Advance
GAME	173448	Pokémon Dark Blue	Nintendo Game Boy Advance
GAME	219569	Pokémon Dark Cry Version	Nintendo Game Boy Advance
GAME	173431	Pokémon Dark Cry: The Legend of Giratina	Nintendo Game Boy Advance
GAME	173434	Pokémon Dark Crystal	Nintendo Game Boy Advance
GAME	140880	Pokémon Dark Energy	Nintendo Game Boy Color
GAME	173438	Pokémon Dark Knight	Nintendo Game Boy Advance
GAME	173441	Pokémon Dark Realm	Nintendo Game Boy Advance
GAME	128290	Pokémon Dark Rising	Nintendo Game Boy Advance
GAME	128800	Pokémon Dark Rising II	Nintendo Game Boy Advance
GAME	128803	Pokémon Dark Rising Origins: Worlds Collide	Nintendo Game Boy Advance
GAME	128802	Pokémon Dark Rising: Order Destroyed	Nintendo Game Boy Advance
GAME	173446	Pokémon Dark Violet	Nintendo Game Boy Advance
GAME	173450	Pokémon DarkJasper	Nintendo Game Boy Advance
GAME	173449	Pokémon Darkfire	Nintendo Game Boy Advance
GAME	173452	Pokémon Darkness Falls	Nintendo Game Boy Advance
GAME	173514	Pokémon Delta Emerald	Nintendo Game Boy Advance
GAME	173550	Pokémon Delta Fusion	Nintendo Game Boy Advance
GAME	173551	Pokémon Delta Green	Nintendo Game Boy Advance
GAME	173552	Pokémon Deneb	Nintendo Game Boy Advance
GAME	173668	Pokémon Derp Emerald	Nintendo Game Boy Advance
GAME	173669	Pokémon Derpizard	Nintendo Game Boy Advance
GAME	173675	Pokémon Desert Version	Nintendo Game Boy Advance
GAME	173681	Pokémon Diabound	Nintendo Game Boy Advance
GAME	128620	Pokémon Diamond	Nintendo Game Boy Color
GAME	173682	Pokémon Digimon FireRed	Nintendo Game Boy Advance
GAME	173690	Pokémon Dimension Legends	Nintendo Game Boy Advance
GAME	173667	Pokémon Discovery	Nintendo Game Boy Advance
GAME	173691	Pokémon Distortion Black	Nintendo Game Boy Advance
GAME	173686	Pokémon Drab Conspiracy	Nintendo Game Boy Advance
GAME	142463	Pokémon Dragon Ball Z Team Training	Nintendo Game Boy Advance
GAME	173685	Pokémon Dragonstone	Nintendo Game Boy Advance
GAME	173684	Pokémon Dragonstone 2	Nintendo Game Boy Advance
GAME	173687	Pokémon Dream Seasons	Nintendo Game Boy Advance
GAME	173688	Pokémon Dreary	Nintendo Game Boy Advance
GAME	173726	Pokémon Easter Revolution	Nintendo Game Boy Advance
GAME	173735	Pokémon Eccentric Emerald	Nintendo Game Boy Advance
GAME	173727	Pokémon Echo Emerald	Nintendo Game Boy Advance
GAME	173731	Pokémon Eclipse	Nintendo Game Boy Advance
GAME	204549	Pokémon Edición Team Rocket	Nintendo Game Boy Advance
GAME	173736	Pokémon Electric Yellow	Nintendo Game Boy Advance
GAME	173737	Pokémon Electro Ball	Nintendo Game Boy Advance
